first_date,last_date,person,name,allegation,text,corruption,crime,elections,ethics,resolved,sexual-harassment-abuse,unresolved,censure,conviction,exclusion,expulsion,plea,reprimand,resignation,settlement
2019-10-24,2020-06-12,412770,Michael F. Q. San Nicolas,"engaging in a sexual relationship with a staff member, converting campaign funds to personal use and/or accepting improper or excessive campaign contributions","In 2019, San Nicolas was alleged to have engaged in a sexual relationship with a staff member, converted campaign funds to personal use and/or accepted improper or excessive campaign contributions. The House Committee on Ethics began an investigation. In 2020, the House Committee on Ethics[established an Investigative Subcommittee](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-delegate-michael-f-0) to further investigate the allegations following a referral from the Office of Congressional Ethics.",,,X,,,X,X,,,,,,,,
2019-10-23,2019-10-27,412756,Katie Hill,had a sexual relationship with office staffer,"In October 2019, nude photos of Rep. Hill were published by conservative websites along with the allegation that she was having a sexual relationship with her Chief of Staff. Rep. Hill claimed that the photos & allegation came from her soon to be ex-husband as part of their divorce. Rep. Hill denied that allegation, which would have been a violation of House rules, but did acknowledge a relationship with a campaign staff member which is not against House rules. A few days after the House Ethics Committee opened an investigation into Rep. Hill, she resigned from Congress.",,,,,X,X,,,,,,,,,
2018-05-15,2019-06-17,400162,Raúl Grijalva,the representative created a hostile work environment and was frequently drunk,"At an unspecified date during Rep. Grijalva's service in Congress, he was accused of creating a hostile work environment and being frequently drunk. The claims, always denied by Grijalva, were resolved with a severance payment in 2015 although none of this became public until 2017. According to news reports, Grijalva was cleared by the House Ethics Committee [letter](https://www.rollcall.com/news/politics/house-ethics-clears-rep-raul-grijalva-wrongdoing) in Dec 2018. Now, his case is apparently [being reviewed by the House Committee on Ethics](https://www.azcentral.com/story/news/politics/arizona/2019/06/14/rep-raul-grijalva-under-scrutiny-house-ethics-committee-over-workplace-allegations/1460308001/), although what for and why is unknown.",,,,X,,,X,,,,,,,,
2019-02-27,2020-08-21,412690,Matt Gaetz,violating the Florida Supreme Court's rules for attorney by attempting to intimidate a witness scheduled to testify before the House Judiciary Committee.,"In February 2019, Gaetz posted a threatening tweet aimed at Michael Cohen, President Trump's former personal attorney the night before Cohen was scheduled to testify before the House Judiciary Committee regarding crimes for which Cohen had been found guilty and in which, according to federal prosecutors, the President participated. Gaetz was [referred to the Florida Bar for investigation](http://www.tampabay.com/florida-politics/buzz/2019/02/27/matt-gaetz-under-investigation-by-the-florida-bar-for-tweet-at-michael-cohen/) and possible discipline. In August 2019, the [Florida Bar announced it had found ""no probable cause""](https://www.tampabay.com/florida-politics/buzz/2019/08/14/no-probable-cause-matt-gaetz-violated-florida-bar-rules-in-tweets-at-michael-cohen/) that Gaetz had violated its rules and closed its investigation. Because of his [repeated refusals](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-matt) to respond to House Committee on Ethics requests for interviews, an Investigative Subcommittee was established in June 2019. In August 2020, the House Committee on Ethics published the report of the Investigative Subcommittee [admonishing Gaetz for unprofessional behavior](https://ethics.house.gov/sites/ethics.house.gov/files/documents/Committee%20Report_21.pdf).",X,,,X,X,,,,,,,,,,
2019-04-02,2019-10-02,400172,Robin Hayes,"bribery and conspiracy to commit honest services wire fraud, along with several counts of making false statements","In 2019, Mr. Hayes, the Republican representative for NC-8 from 1999-2008 and current chair of the North Carolina Republican Party, was indicted on charges of bribery and conspiracy to commit honest services wire fraud, along with several counts of making false statements in an effort to bribe North Carolina's insurance commissioner. In October 2019, Mr. Hayes pleaded guilty to lying to the FBI while being investigated for conspiracy and bribery.",X,,X,,X,,,,,,,,,,
2018-07-19,2019-01-02,412627,Rod Blum,omitting required information from financial disclosure reports; permitting the use of official House resources for a private business in which he had a financial interest and the use of unfair or deceptive trade practices,"In 2018, Blum was accused of omitting required information from financial disclosure reports; permitting the use of official House resources for a private business in which he had a financial interest and the use of unfair or deceptive trade practices. In July 2018, the Office of Congressional Ethics [referred the allegations to the House Committee on Ethics for further investigation](https://oce.house.gov/reports/investigations/oce-referral-regarding-rep-rod-blum). In December 2018, the House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-ro-0). In January 2019, the Committee ceased investigating as its juridiction ended with the 115th Congress.",X,,,,X,,,,,,,,,,
2018-05-28,2019-01-02,412729,Thomas Garrett,using Congressional staff to perform unofficial work and personal errands,"In May 2018, Garrett [announced he is an alcoholic](https://www.washingtonpost.com/local/virginia-politics/rep-garrett-announces-he-is-an-alcoholic-and-will-not-seek-re-election/2018/05/28/40e8839a-62b2-11e8-99d2-0d678ec08c2f_story.html?noredirect=on&utm_term=.83dc5ec2e388) and that he would not run for re-election at the same time that allegations that he had been using Congressional staff to perform unofficial work and personal errands emerged. In September 2018, the Office of Congressional Ethics [referred the allegations](https://oce.house.gov/reports/investigations/oce-referral-regarding-rep-thomas-garrett) to the House Committee on Ethics. In December 2018, the House Committee on Ethics announced it was [extending its investigation](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-26) The investigation ceased with the end of the 115th Congress as Garrett is no longer in Congress.",X,,,,X,,,,,,,,,,
2018-08-09,2019-01-02,412462,James Renacci,misusing his congressional office for campaign purposes,"In April 2018, the Ohio Democratic Party [filed a complaint against Renacci with the Office of Congressional Ethics](https://www.dispatch.com/news/20180430/ohio-democrats-file-ethics-complaint-against-renacci) for misusing his congressional office for campaign purposes. In November 2018, Renacci lost the Senate election to Sherrod Brown and the House Committee on Ethics [extended its investigation of the allegations](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-jim). The Committee ceased investigating at the end of the 115th because they no longer had jurisdiction.",X,,X,,X,,,,,,,,,,
2018-06-25,2018-06-25,412730,Pramila Jayapal,"crowding, obstructing, or incommoding, during a protest inside a Senate Office Building in Washington, D.C.","On June 28, Rep. Jayapal was arrested for crowding, obstructing, or incommoding, during a protest inside a Senate Office Building in Washington, D.C. The House Committee on Ethics concluded that [no further investigation was needed](https://www.congress.gov/115/crpt/hrpt876/CRPT-115hrpt876.pdf) since Rep. Jayapal had paid a $50 fine and charges were dropped.",,,,X,X,,,,,,,,,,
2018-06-28,2020-07-31,412399,David Schweikert,using or authorizing impermissable expenditures from Representative Schweikert’s Members’ Representational Allowance and receiving improper campaign contributions; failure to provide financial disclosure information,"In 2018, Rep. Schweikert was accused of using or authorizing impermissable expenditures from his Members’ Representational Allowance and receiving improper campaign contributions. In June 2018, the House Committee on Ethics [established an Investigative Subcommittee (ISC)](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-19). In December of 2018, the ISC [expanded its investigation](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-28) and added alleged failure to make financial disclosures. On July 30, 2020, the House Committee on Ethics published their report, [concluded he was guilty of all charges](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-13), recommended a reprimand and fined Schweikert $50,000. On July 31, 2020, the [House voted unanimously](https://www.washingtonpost.com/powerpost/house-votes-to-reprimand-gop-rep-schweikert-for-11-ethics-violations/2020/07/31/2490303e-d327-11ea-9038-af089b63ac21_story.html) in a voice vote to formally reprimand Rep. Schweikert.",X,,X,,X,,,,,,,,X,,
2018-01-30,2018-02-06,412397,Paul Gosar,"attempting to pressure Capitol Police via Twitter to arrest State of the Union 2018 guests he described as ""illegal aliens""","In February 2018, a resolution to reprimand Rep. Gosar for attempting to pressure Capitol Police via Twitter to arrest State of the Union 2018 guests he described as ""illegal aliens"" [was tabled (i.e. failed) on party lines, 231-187](https://www.govtrack.us/congress/votes/115-2018/h53). Several Democratic representatives brought undocumented immigrants who are currently part of the DACA program to the speech.",,,,X,X,,,,,,,,,,
2018-04-02,2018-12-20,412524,Elizabeth Esty,failed to address sexual harassment by one staffer against another in a timely manner,"In April of 2018, Rep. Esty announced she would not seek reelection after she admitted that she had [failed to address sexual harassment](https://www.nytimes.com/2018/04/02/us/politics/elizabeth-esty-wont-run-reelection.html) by one staffer against another in a timely manner. She said she had also asked for a review of her office's actions by the House Committee on Ethics. In December of 2018, the House Committee on Ethics [found that Esty had broken no House rules](https://ethics.house.gov/sites/ethics.house.gov/files/Esty%20Report%20FINAL%20with%20Signatures.pdf) but that she could have handled the situation better.",,,,,X,X,,,,,,,,,
2018-03-20,2018-03-20,400297,Devin Nunes,receiving campaign contributions in excess of limits and from prohibited entities,"In 2018, the [Federal Elections Commission (FEC) announced it was investigating Nunes](http://docquery.fec.gov/pdf/285/201803200300001285/201803200300001285.pdf) for receiving campaign contributions in excess of limits and from prohibited entities.",,,X,,,,X,,,,,,,,
2017-11-01,2017-11-01,400047,Brady,"leading a criminal conspiracy to hide a $90,000 payment made to persuade a 2012 primary opponent to drop out of the race","Brady faced an allegation of leading a criminal conspiracy to hide a $90,000 payment made to persuade a 2012 primary opponent to drop out of the race. On Nov. 1, 2017, the Federal Bureau of Investigation [issued a search warrant for email](http://www.philly.com/philly/news/pennsylvania/philadelphia/bob-brady-search-warrant-emails-campaign-payoff-probe-20171121.html).",X,,X,,,,X,,,,,,,,
2018-01-20,2019-01-02,412466,Meehan,sexual harassment,"While serving on the House Committee on Ethics, Meehan used taxpayer funds to settle a 2017 sexual harassment complaint privately, heading off an investigation. He was subsequently removed from the House Committee on Ethics. In March 2018, the House Committee on Ethics had established and [staffed an Investigative Subcommittee](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-14) When Meehan resigned in April 2018, the Committee ceased investigating because he was no longer within their jurisdiction.",,,,,X,X,,,,,,,,,
2017-12-19,2019-01-02,400116,"John J. Duncan, Jr.",converting campaign funds to personal use and accepting contributions from staff while reimbursing them for those contributions from the campaign committee,"In 2017, the Office of Congressional Ethics recommended further review of allegations against Rep. Duncan, Jr. for converting campaign funds to personal use and accepting contributions from staff while reimbursing them for those contributions from the campaign committee. In 2018, the House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-jo-3). In January 2019, the Committee ceased investigating as its jurisdiction ended with the 115th Congress.",,,X,,X,,,,,,,,,,
2017-12-15,2018-11-15,412716,Ruben Kihuen,sexual harassment,"On Dec. 15, 2017, the House Committee on Ethics announced that it had begun an investigation into allegations of sexual harassment by Kihuen. On November 16, 2018, the Committee the Committee found that Representative Kihuen made persistent and unwanted advances towards women who were required to interact with him as part of their professional responsibilities. As a result, the Committee voted to adopt the Investigative Subcommittee's report, which along with the Committee's report [will serve as a reproval](https://ethics.house.gov/sites/ethics.house.gov/files/Kihuen%20Com%20Report%20with%20Sigs.pdf) of Kihuen.",,,,,X,X,,,,,,,X,,
2017-12-21,2017-11-28,400163,Luis V. Gutiérrez,arrest during a protest outside of the White House,"In 2017 Gutiérrez was investigated for having been arrested during a December protest outside of the White House. The House Committee on Ethics [recommended no action as the fine has been paid](https://ethics.house.gov/sites/ethics.house.gov/files/DREAMER%20Protest%20Report_0.pdf). On November 28, 2017, Representative Gutiérrez announced he would not seek reelection to Congress.",,,,X,X,,,,,,,,,,
2017-12-21,2017-12-21,412379,Judy Chu,arrest during a protest outside of the White House,In 2017 Chu was investigated for having been arrested during a December protest outside of the White House. The House Committee on Ethics [recommended no action as the fine has been paid](https://ethics.house.gov/sites/ethics.house.gov/files/DREAMER%20Protest%20Report_0.pdf).,,,,X,X,,,,,,,,,,
2017-12-07,2017-12-09,400141,Trent Franks,asking staff members to carry his surrogate child and offering one staffer $5 million dollars to impregnate her via intercourse,"In 2017, Franks resigned due to reports that he had asked staff members to carry his surrogate child and had offered one staffer $5 million dollars to impregnate her via intercourse.",,,,,X,X,,,,,,,,X,
2017-11-30,2017-12-07,412378,Al Franken,sexual harassment,"On December 7, 2017, Senator Franken announced his resignation which was effective January 2, 2018 due to allegations of sexual harassment. Select Committee on Ethics [began investigating Senator Franken](https://www.ethics.senate.gov/public/index.cfm/files/serve?File_id=A7DC53D9-3BB6-4C9C-81A9-EA983132193E) on November 30, 2017.",,,,,X,X,,,,,,,,X,
2017-11-21,2017-12-05,400080,"John Conyers, Jr.","sexual harassment, age discrimination, and improper use of official resources for personal purposes","On December 5, 2017, Conyers resigned from office at the start of an investigation for sexual harassment, age discrimination, and improper use of official resources for personal purposes.",,,,X,X,X,,,,,,,,X,
2013-10-13,2017-11-20,400133,Filner,"groping, sexually suggestive comments, and unwanted advances","In 2013 Filner pleaded guilty to groping, sexually suggestive comments and unwanted advances as mayor of San Diego, CA. In Nov. 2017, Rep. Diana DeGettee alleged that Filner had groped her when their Congressional terms overlapped.",,,,,X,X,,,,,,,,,
2017-11-16,2018-04-26,400272,Robert Menendez,corruption and bribery,"Menendez was investigated for unspecified misconduct in 2012. The Senate investigation was halted during his investigation and trial for corruption and bribery which resulted in a mistrial. In April 2018, the Senate Select Committee on Ethics [admonished Senator Menendez](https://www.ethics.senate.gov/public/index.cfm/files/serve?File_id=49C12C75-7A26-4FE6-B070-19FCEF4D7532) for violating Senate rules and ordered him to repay any remaining outstanding value of impermissable gifts.",X,,,,X,,,,,,,,X,,
2011-06-21,2017-11-06,400426,Weiner,sending sexually explicit texts to women who were not his wife,"Weiner sent sexually explicit texts to women who were not his wife, including to a 15-year-old girl. On Jun. 21, 2011, he [resigned](http://content.usatoday.com/communities/onpolitics/post/2011/06/anthony-weiner-resignation-sex-scandal-/1#.WmekVpM-f1I). On Oct. 28, 2016, the Director of the FBI, James Comey, publicly reopened his investigation into presidential candidate Hillary Rodham Clinton because the computer seized as part of the Weiner investigation contained some emails that might have been relevant to a [prior investigation into Clinton](https://www.nytimes.com/2016/10/29/us/politics/fbi-hillary-clinton-email.html).",,X,,,X,X,,,,,,X,,X,
2009,2017,400201,William Jefferson,bribery,"In 2009 Jefferson was convicted of bribery. In 2012, he was sentenced to 13 years in prison. In 2017, 7 of the 10 indictments were dismissed and he was released from prison.",X,,,,X,,,,X,,,,,,
2017-07-14,2019-10-01,412563,Chris Collins,"sharing material nonpublic information in the purchase of Innate stock, using his status to purchase discounted stock and directing an NIH employee to meet with Innate staff to discuss a clinical trial","On Aug. 8, 2018, Collins was [arrested and indicted on charges of insider trading of Innate stock](https://www.businessinsider.com/chris-collins-arrested-insider-trading-charges-2018-8) by the FBI. He had been under investigation by the House Office of Congressional Ethics since 2017 for sharing material nonpublic information in the purchase of Innate stock, using his status to purchase discounted stock, and in 2013 directing an NIH employee to meet with Innate staff to discuss a clinical trial. He briefly suspended his reelection campaign, then unsuspended it and kept his seat. In May 2019, the House Committee on Ethics [reauthorized](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-chris) deferred further investigation to the Department of Justice. On Sept. 30, 2019, Collins [resigned](https://www.foxnews.com/politics/new-yorks-collins-to-resign-house-seat-ahead-of-expected-guilty-plea-for-insider-trading) from Congress and on Oct. 1, 2019, he [pleaded guilty](https://www.nytimes.com/2019/10/01/nyregion/chris-collins-guilty-congress.html) to conspiracy to commit securities fraud and lying to federal investigators.",,,,X,X,,,,,,,,,,
2017-09-14,2017-11-28,400163,Luis V. Gutiérrez,arrest during a protest outside of the White House,"In 2017 Gutiérrez was investigated for having been arrested during a protest outside of the White House. The House Committee on Ethics [recommended no action as the fine has been paid](https://www.congress.gov/115/crpt/hrpt310/CRPT-115hrpt310.pdf). On November 28, 2017, Representative Gutiérrez announced he would not seek reelection to Congress.",,,,X,X,,,,,,,,,,
2017-06-12,2017-09-11,400041,Madeleine Z. Bordallo,receiving profit from a foreign government; excess gifts; use of official funds for personal travel; using congressional staff for personal services,In 2017 Bardallo was investigated for receiving profit from a foreign government; excess gifts; use of official funds for personal travel; and using congressional staff for personal services. The House Committee on Ethics [recommended further review](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-delegate-madelein-0).,,,,X,,,X,,,,,,,,
2017-05-11,2017-12-05,400080,"John Conyers, Jr.",compensating staff for work in 2016 not commensurate with pay with House of Representatives funds,In 2017 Conyers was investigated for compensating staff for work in 2016 not commensurate with pay with House of Representatives funds. The House Committee on Ethics [recommended further review](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-jo-0).,,,,X,X,,,,,,,,,X,
2017-05-11,2017-08-01,412293,Ben Ray Luján,"requesting that his congressional campaign committee issue communications, including requests for donations, using images of him in a “sit-in” demonstration in the House","In 2017 Lujan was investigated for requesting that his congressional campaign committee issue communications, including requests for donations, using images of him in a “sit-in” demonstration in the House. The House Committee on Ethics [concluded that no action was needed](https://www.congress.gov/115/crpt/hrpt272/CRPT-115hrpt272.pdf).",,,X,X,X,,,,,,,,,,
2016-05-13,2017-08-01,412578,Roger Williams,improperly taking official action in 2015 on a matter in which he had a personal financial interest,"In 2017 Williams was investigated for improperly taking official action in 2015 on a matter in which he had a personal financial interest. The House Committee on Ethics concluded the Williams Amendment could have affected Representative Williams’ personal financial interests, however the totality of the circumstances surrounding Representative Williams’ [actions did not create a reasonable inference of improper conduct](https://www.congress.gov/115/crpt/hrpt271/CRPT-115hrpt271.pdf).",,,,X,X,,,,,,,,,,
2017,2017,412736,Greg Gianforte,assaulting a reporter in 2017 the night before he was elected to Congress,In 2017 Gianforte pleaded guilty to assaulting a reporter in 2017 the night before he was elected to Congress.,,X,,,X,,,,,,,X,,,
2017-04-06,2017-12-07,400297,Devin Nunes,unauthorized disclosures of classified information,In 2017 Nunes was investigated for unauthorized disclosures of classified information. The [investigation is closed](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-6) as of 12/07/2017.,,,,X,X,,,,,,,,,,
2016-08-31,2019-12-09,412283,Duncan Hunter,converting funds from his congressional campaign committee for personal use,"In 2016 Hunter was investigated for converting funds from his congressional campaign committee for personal use. The House Committee on Ethics [deferred to the Department of Justice](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative). In August 2018, Hunter was [indicted](https://www.washingtonpost.com/world/national-security/congressman-duncan-hunter-wife-charged-with-spending-campaign-money-on-personal-expenses/2018/08/21/). In June 2019, Hunter's wife [pleaded guilty](https://www.buzzfeednews.com/article/juliareinstein/duncan-margaret-hunter-california-congressman-guilty-plea) and said that she and Hunter misused over $200,000 in campaign funds for personal purposes. In December 2019, Hunter pleaded guilty to one count of conspiring to misuse campaign funds. The House Committee on Ethics [released the findings of the Office of Congressional Ethics](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-dunc-2) and resumed its investigation. Hunter has yet to announce whether he will resign from Congress.",,X,X,,,,X,,,,,,,,
2006,2016,400169,Dennis “Denny” Hastert,child molestation,"In 2016 Hastert pleaded guilty to child molestation, 10 years after leaving Congress. In 2006, Hastert declined to run for office again. He was indicted in 2015, served 13 months in prison and was released in 2017.",,,,,X,X,,,,,,X,,,
2016-08-31,2017-01-02,412392,Marlin A. Stutzman,using campaign funds for a 2015 family trip which included some campaign activity,"In 2016 Stutzman was investigated for using campaign funds for a 2015 family trip which included some campaign activity. The House Committee on Ethics recommended further review; however after Stutzman's loss in the 2016 election, [the investigation was ended](https://www.congress.gov/114/crpt/hrpt910/CRPT-114hrpt910.pdf).",,,X,,X,,,,,,,,,,
2016-04-05,2017-01-02,412276,Alan Grayson,"numerous alleged violations, the majority of which relate to his leadership and ownership of a hedge fund and law firms, omissions from his annual financial disclosure forms, and the use of official resources for unofficial purposes","In 2015 Grayson was investigated for numerous alleged violations, the majority of which relate to his leadership and ownership of a hedge fund and law firms, omissions from his annual financial disclosure forms, and the use of official resources for unofficial purposes. He lost the 2016 election.",,,,X,X,,,,,,,,,,
2015-06-05,2017-01-02,400185,Michael M. Honda,using official resources for campaign purposes,In 2015 Honda was investigated for using official resources for campaign purposes. The House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and Rep. Honda's response](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-14). Honda lost his 2016 election.,,,X,X,X,,,,,,,,,,
2016-03-23,2017,400048,Corrine Brown,"a range of mail violations, wire fraud, defrauding the IRS and related charges","In 2016 Brown was convicted for a range of mail violations, wire fraud, defrauding the IRS and related charges. In 2016, Brown lost in the primary and in 2017 she was [convicted of the charges against her](https://en.wikipedia.org/wiki/Corrine_Brown#Political_controversies). In December 2017, she was sentenced to five years in prison.",,X,,,X,,,,X,,,,,,
2016-09-27,2016-09-27,412487,David B. McKinley,remaining a named partner in his prior business after being elected to Congress,In 2016 McKinley received a letter of reproval for remaining a named partner in his prior business after being elected to Congress. The House Committee on Ethics concluded that McKinley violated House rules and [issued a letter of reproval](https://www.congress.gov/114/crpt/hrpt795/CRPT-114hrpt795.pdf).,,,,X,X,,,,,,,,X,,
